MMWR_Year,MMWR_Week,Date,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW.HAMPSHIRE,NEW.JERSEY,NEW.MEXICO,NEW.YORK,NORTH.CAROLINA,NORTH.DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE.ISLAND,SOUTH.CAROLINA,SOUTH.DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST.VIRGINIA,WISCONSIN,WYOMING
2014,1,2013-12-29,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,2,2014-01-05,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,3,2014-01-12,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,4,2014-01-19,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,5,2014-01-26,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,6,2014-02-02,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,7,2014-02-09,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,8,2014-02-16,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,9,2014-02-23,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,10,2014-03-02,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
