MMWR_Year,MMWR_Week,Date,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW.HAMPSHIRE,NEW.JERSEY,NEW.MEXICO,NEW.YORK,NORTH.CAROLINA,NORTH.DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE.ISLAND,SOUTH.CAROLINA,SOUTH.DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST.VIRGINIA,WISCONSIN,WYOMING
2014,1,2013-12-29,4,NA,24,NA,NA,NA,NA,NA,27,19,NA,NA,NA,NA,NA,NA,4,4,4,7,NA,4,NA,8,NA,2,5,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,5,NA
2014,2,2014-01-05,5,1,25,NA,NA,NA,NA,NA,42,17,2,NA,NA,NA,NA,1,4,1,3,12,NA,6,NA,2,NA,NA,5,1,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,16,15,NA,NA,NA,NA,NA,7,NA
2014,3,2014-01-12,1,NA,18,NA,NA,NA,NA,NA,32,2,NA,NA,NA,NA,NA,NA,6,NA,NA,17,NA,3,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,5,9,NA,2,NA,NA,NA,7,NA
2014,4,2014-01-19,2,NA,12,NA,NA,NA,NA,NA,10,12,NA,NA,NA,NA,NA,1,7,NA,1,7,NA,5,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,27,1,NA,NA,NA,NA,NA,18,15,NA,NA,NA,NA,NA,4,NA
2014,5,2014-01-26,1,NA,12,2,NA,NA,NA,1,22,7,1,NA,NA,NA,NA,NA,5,4,2,12,NA,2,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,14,1,NA,NA,NA,NA,NA,9,35,NA,2,NA,NA,NA,6,NA
2014,6,2014-02-02,2,2,14,3,NA,NA,NA,1,28,12,NA,NA,NA,NA,NA,NA,5,1,2,14,NA,2,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,9,22,NA,2,NA,NA,NA,2,NA
2014,7,2014-02-09,3,2,18,NA,NA,NA,NA,NA,42,3,NA,NA,NA,NA,NA,NA,3,NA,3,10,NA,3,NA,7,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,13,23,NA,NA,NA,NA,NA,2,NA
2014,8,2014-02-16,2,NA,20,NA,NA,NA,NA,1,35,8,2,NA,NA,NA,NA,NA,1,NA,3,6,NA,4,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,17,1,NA,NA,NA,NA,NA,4,33,NA,2,NA,NA,NA,6,NA
2014,9,2014-02-23,2,1,NA,NA,NA,NA,NA,1,46,9,NA,NA,NA,NA,NA,NA,2,2,1,7,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,23,1,NA,NA,NA,NA,NA,15,18,NA,NA,NA,NA,NA,1,NA
2014,10,2014-03-02,4,2,21,NA,NA,NA,NA,NA,37,3,3,NA,NA,NA,NA,NA,4,4,2,18,NA,4,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,11,22,NA,1,NA,NA,NA,1,NA
2014,11,2014-03-09,2,1,21,1,NA,NA,NA,NA,32,NA,2,NA,NA,NA,NA,1,NA,6,4,14,NA,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,11,41,NA,NA,NA,NA,NA,2,NA
2014,12,2014-03-16,3,2,13,NA,NA,NA,NA,1,26,NA,1,NA,NA,NA,NA,NA,4,2,1,6,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,13,24,NA,NA,NA,NA,NA,6,NA
2014,13,2014-03-23,3,1,13,NA,NA,NA,NA,NA,24,3,2,NA,NA,NA,NA,NA,3,NA,2,12,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,14,45,NA,2,NA,NA,NA,7,NA
2014,14,2014-03-30,3,2,13,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,5,3,2,3,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,17,22,NA,1,NA,NA,NA,3,NA
2014,15,2014-04-06,2,2,22,2,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,5,NA,4,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,11,24,NA,NA,1,NA,NA,NA,NA
2014,16,2014-04-13,NA,4,NA,2,NA,5,NA,NA,17,4,NA,NA,NA,NA,NA,NA,5,2,1,6,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,7,15,NA,2,NA,NA,NA,5,NA
2014,17,2014-04-20,1,NA,NA,NA,NA,7,NA,NA,22,4,NA,NA,NA,NA,NA,NA,6,NA,2,14,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,17,26,NA,NA,NA,NA,NA,8,NA
2014,18,2014-04-27,4,2,8,4,NA,8,NA,2,27,8,NA,NA,NA,NA,NA,NA,NA,NA,4,11,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,10,46,NA,2,NA,NA,NA,4,NA
2014,19,2014-05-04,NA,5,2,NA,NA,7,NA,1,14,6,2,NA,NA,NA,NA,NA,8,NA,3,6,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,4,16,NA,NA,NA,NA,NA,5,NA
2014,20,2014-05-11,NA,2,4,1,NA,12,NA,NA,14,7,NA,NA,NA,NA,NA,NA,4,NA,5,10,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,8,22,NA,2,NA,NA,NA,5,NA
2014,21,2014-05-18,1,2,6,NA,NA,NA,NA,NA,13,9,NA,NA,NA,NA,NA,NA,1,1,5,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,8,19,NA,NA,NA,NA,NA,2,NA
2014,22,2014-05-25,NA,3,11,2,NA,4,NA,1,16,7,NA,NA,NA,NA,NA,NA,NA,2,2,5,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,2,23,NA,NA,NA,NA,NA,6,1
2014,23,2014-06-01,3,1,4,5,NA,8,NA,1,12,7,NA,NA,NA,NA,NA,1,2,5,1,10,NA,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,15,24,NA,NA,NA,NA,NA,3,NA
2014,24,2014-06-08,NA,1,5,NA,NA,7,NA,NA,14,3,1,NA,NA,NA,NA,NA,1,3,1,7,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,NA,1,NA,NA,NA,2,1
2014,25,2014-06-15,1,1,4,NA,NA,9,NA,NA,10,5,1,NA,NA,NA,NA,NA,NA,1,1,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,7,12,NA,NA,NA,NA,NA,3,NA
2014,26,2014-06-22,1,1,7,1,NA,5,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,8,13,NA,NA,NA,NA,NA,4,NA
2014,27,2014-06-29,NA,NA,2,NA,NA,7,NA,NA,11,NA,2,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,8,15,NA,1,NA,NA,NA,3,NA
