Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal Disease§, All ages, Confirmed, Current week","Invasive Pneumococcal Disease§, All ages, Confirmed, Current week, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Med","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Max","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2017","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2017, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2016","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2016, flag","Invasive Pneumococcal Disease§, All ages, Probable, Current week","Invasive Pneumococcal Disease§, All ages, Probable, Current week, flag","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Med","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Max","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2017","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2017, flag","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2016","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,264,,270,,488,,264,,487,,,-,0,,2,,,-,2,,,
NEW ENGLAND,2017,1,5,,20,,39,,5,,31,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,1,50,,41,,79,,50,,45,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,1,21,,13,,23,,21,,17,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,1,57,,48,,126,,57,,126,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,1,10,,15,,32,,10,,24,,,-,0,,1,,,-,1,,,
S. ATLANTIC,2017,1,55,,51,,123,,55,,106,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,1,35,,34,,71,,35,,71,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,1,8,,37,,97,,8,,22,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,1,43,,23,,66,,43,,57,,,-,0,,1,,,-,1,,,
PACIFIC,2017,1,1,,4,,10,,1,,5,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
MISSISSIPPI,2017,1,,-,5,,13,,,-,13,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
WEST VIRGINIA,2017,1,,-,4,,17,,,-,4,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
DELAWARE,2017,1,4,,1,,5,,4,,5,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW YORK,2017,1,19,,16,,33,,19,,10,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
OHIO,2017,1,43,,17,,40,,43,,40,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NORTH DAKOTA,2017,1,,-,1,,5,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
VERMONT,2017,1,,-,1,,10,,,-,1,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ARKANSAS,2017,1,2,,4,,16,,2,,2,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
DIST. OF COL.,2017,1,,-,1,,4,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
PENNSYLVANIA,2017,1,10,,9,,24,,10,,17,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
CALIFORNIA,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
UTAH,2017,1,,-,4,,10,,,-,4,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
