Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal Disease, all ages†, Confirmed, Current week","Invasive Pneumococcal Disease, all ages†, Confirmed, Current week, flag","Invasive Pneumococcal Disease, all ages†, Confirmed, Previous 52 weeks Med","Invasive Pneumococcal Disease, all ages†, Confirmed, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease, all ages†, Confirmed, Previous 52 weeks Max","Invasive Pneumococcal Disease, all ages†, Confirmed, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease, all ages†, Confirmed, Cum 2018","Invasive Pneumococcal Disease, all ages†, Confirmed, Cum 2018, flag","Invasive Pneumococcal Disease, all ages†, Confirmed, Cum 2017","Invasive Pneumococcal Disease, all ages†, Confirmed, Cum 2017, flag","Invasive Pneumococcal Disease, all ages†, Probable, Current week","Invasive Pneumococcal Disease, all ages†, Probable, Current week, flag","Invasive Pneumococcal Disease, all ages†, Probable, Previous 52 weeks Med","Invasive Pneumococcal Disease, all ages†, Probable, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease, all ages†, Probable, Previous 52 weeks Max","Invasive Pneumococcal Disease, all ages†, Probable, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease, all ages†, Probable, Cum 2018","Invasive Pneumococcal Disease, all ages†, Probable, Cum 2018, flag","Invasive Pneumococcal Disease, all ages†, Probable, Cum 2017","Invasive Pneumococcal Disease, all ages†, Probable, Cum 2017, flag",Location 1,Location 2
UNITED STATES,2018,1,256,,327,,532,,256,,531,,5,,2,,12,,5,,6,,,
NEW ENGLAND,2018,1,6,,21,,49,,6,,46,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2018,1,43,,48,,88,,43,,62,,2,,1,,10,,2,,1,,,
NEW YORK CITY,2018,1,25,,12,,29,,25,,23,,,-,0,,2,,,-,,-,,
E.N. CENTRAL,2018,1,75,,57,,108,,75,,102,,,-,0,,2,,,-,1,,,
W.N. CENTRAL,2018,1,22,,22,,48,,22,,47,,2,,0,,3,,2,,3,,,
S. ATLANTIC,2018,1,36,,54,,120,,36,,120,,1,,0,,3,,1,,,-,,
E.S. CENTRAL,2018,1,9,,33,,68,,9,,65,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2018,1,10,,36,,101,,10,,18,,,-,0,,2,,,-,,-,,
MOUNTAIN,2018,1,54,,38,,69,,54,,69,,,-,0,,1,,,-,1,,,
PACIFIC,2018,1,1,,3,,12,,1,,2,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2018,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
ARIZONA,2018,1,50,,12,,28,,50,,28,,,-,0,,1,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MISSISSIPPI,2018,1,,-,5,,14,,,-,9,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
